"","glpk","ecos","scs","lpsolve"
"39025",0,4.86378580565307e-14,-2.17465001637502e-10,0
"39039",0,4.83460834487477e-14,3.15372201414306e-12,0
"39077",0,4.83608955802698e-14,-5.68073934254881e-11,0
"42025",0,4.84318277231748e-14,-1.57825525805387e-10,0
"42037",0,4.8441897193407e-14,-1.64332507914426e-10,0
"72061",0,4.83346153228198e-14,8.99048020367523e-11,0
"72097",0,4.83319744636178e-14,1.20864845770413e-10,0
"48033",0,4.83131222851213e-14,1.2929978343091e-10,0
"48059",0,4.83156861152363e-14,1.31557323379167e-10,0
"48063",0,4.83163120860654e-14,1.32102912938303e-10,0
"48307",0,4.83144655979919e-14,1.30489121741888e-10,0
"48429",0,4.83148834017782e-14,1.30857915878569e-10,0
"49013",0,4.83190537571682e-14,1.34472827352437e-10,0
"51011",0,4.8475157850749e-14,-1.80901976481837e-10,0
"51015",0,5.03323622528852e-14,-2.92026861818372e-10,0
"51145",0,4.86611850614652e-14,-2.20175836082775e-10,0
"1043",0,4.90367757575688e-14,-2.40863341473667e-10,0
"1133",0,4.84285285582514e-14,-1.55491273768438e-10,0
"5021",0,4.83826070274776e-14,-1.05355345498106e-10,0
"5039",0,4.83332693668754e-14,1.04906737524623e-10,0
"5137",0,4.8358156530254e-14,-4.81130762294706e-11,0
"12071",0,4.8660955064869e-14,-2.20151748707541e-10,0
"13039",0,4.85908497924925e-14,-2.10782703304144e-10,0
"13087",0,4.84334490013248e-14,-1.58935644816115e-10,0
"13133",0,4.84283965989271e-14,-1.55396160152409e-10,0
"13219",0,4.86778683067222e-14,-2.21926522784375e-10,0
"17185",0,4.83255963728095e-14,1.399479490896e-10,0
"18093",0,4.83617068633201e-14,-5.92310319729696e-11,0
"18155",0,4.83234159713329e-14,1.3815290575553e-10,0
"20145",0,4.83220619390778e-14,1.37022586038112e-10,0
"21135",0,4.83668415472152e-14,-7.32035390971968e-11,0
"5013",0,4.83276009087051e-14,1.41584440148745e-10,0
