"Date","FIPS","Completeness_pct","SVI_CTGY","Census2019","tVaccMi"
2022-05-14,"45063",93.1,"B",298750,430.397797086753
2022-05-14,"47001",97.8,"C",76978,229.249546880039
2022-05-14,"47137",97.8,"B",5048,179.952443407921
2022-05-14,"48027",98.9,"D",362924,912.916674465889
2022-05-14,"48185",98.9,"D",28880,868.335501943814
2022-05-14,"48279",98.9,"D",12893,1015.88799065866
2022-05-14,"48317",98.9,"B",5771,1058.8850465366
2022-05-14,"49047",97.6,"B",35734,1279.98881216542
2022-05-14,"51041",79,"A",352802,532.63827213706
2022-05-14,"51770",79,"D",99143,434.677490826233
2022-05-14,"78030",86.8,"",NA,NA
2022-05-14,"50019",73.5,"B",27037,832.062646094689
2022-05-14,"53071",96,"C",60760,1719.7658000631
2022-05-14,"55049",96.8,"A",23678,426.949429036574
2022-05-14,"54013",97.2,"C",7109,360.412362091703
2022-05-14,"54085",97.2,"B",9554,363.800208748519
2022-05-14,"54101",97.2,"C",8114,391.490003797915
2022-05-14,"02180",97.6,"D",10004,3543.30888229039
2022-05-14,"05061",90.5,"D",13202,631.987913751607
2022-05-14,"06013",97.6,"B",1153526,1954.11640299318
2022-05-14,"06113",97.6,"C",220500,1938.38179151302
2022-05-14,"08049",97.1,"A",15734,1105.59659954822
2022-05-14,"08081",97.1,"C",13283,1208.68712225971
2022-05-14,"12119",98.7,"A",132420,681.585737488026
2022-05-14,"13057",89.4,"A",258773,293.807343312725
2022-05-14,"13117",89.4,"A",244252,302.381615293311
2022-05-14,"13159",89.4,"C",14219,363.912619913853
2022-05-14,"13183",89.4,"D",19559,508.143193672008
2022-05-14,"19017",97.4,"A",25062,481.830944151176
2022-05-14,"19091",97.4,"A",9558,554.111489730642
2022-05-14,"17195",98.3,"B",55175,367.176651458773
2022-05-14,"18063",98.6,"A",170311,270.050498327542
2022-05-14,"18117",98.6,"C",19646,235.292142277525
2022-05-14,"20033",93.6,"A",1700,781.919866298945
2022-05-14,"20041",93.6,"B",18466,655.584421041305
2022-05-14,"20177",93.6,"C",176875,585.668901205576
2022-05-14,"21231",94,"C",20333,191.139507112191
2022-05-14,"22063",96.9,"B",140789,652.655282666491
2022-05-14,"22079",96.9,"D",129648,684.041005872582
2022-05-14,"23029",96.2,"C",31379,1040.96928058494
2022-05-14,"26057",95.1,"C",40711,377.29038725076
2022-05-14,NA,94.6,"",NA,NA
2022-05-14,"29081",91.3,"C",8352,504.484169524944
2022-05-14,"01091",92.5,"D",18863,459.021690342576
2022-05-14,"01097",92.5,"D",413210,566.197220737796
2022-05-14,"08089",97.1,"D",18278,999.559961439418
2022-05-14,"08101",97.1,"D",168424,1037.18444151201
2022-05-14,"09007",98.3,"A",162436,767.96224140501
2022-05-14,"12019",98.7,"B",219252,605.098488555335
2022-05-14,"12085",98.7,"B",161000,821.037031530198
2022-05-14,"13059",89.4,"D",128331,337.779576674639
2022-05-14,"19043",97.4,"A",17549,448.421981427296
2022-05-14,"19045",97.4,"B",46429,389.876631356688
2022-05-14,"17027",98.3,"A",37562,326.011203950669
2022-05-14,"20031",93.6,"A",8179,592.974406624711
2022-05-14,"21225",94,"C",14381,256.854044526709
2022-05-14,"22127",96.9,"D",13904,654.556757697074
2022-05-14,"23019",96.2,"B",152148,1001.79331984655
2022-05-14,"26119",95.1,"B",9328,482.843646383687
2022-05-14,"26133",95.1,"C",23460,414.065019828714
2022-05-14,"26159",95.1,"C",75677,331.504980711846
2022-05-14,"29119",91.3,"D",22837,566.561145009917
2022-05-14,"28103",98.1,"D",10417,429.600533285286
2022-05-14,"30041",95.8,"C",16484,1389.69680052597
2022-05-14,"30077",95.8,"B",6890,1469.15097302391
2022-05-14,"37119",96.9,"B",1110356,418.75156909011
2022-05-14,"38055",92.7,"A",9450,1023.88069464174
2022-05-14,"31023",90.7,"A",8016,655.976703275372
2022-05-14,"34037",94,"A",140488,662.380478384876
2022-05-14,"36053",97.6,"A",70941,646.421816086247
2022-05-14,"36073",97.6,"C",40352,553.533080956804
2022-05-14,"39027",98.5,"B",41968,279.382816792309
2022-05-14,"40057",93.8,"D",2653,873.986450951847
2022-05-14,"72141",97.3,"B",27395,1814.92666628666
2022-05-14,"72153",97.3,"C",33575,1817.7474935128
2022-05-14,"46011",96.7,"A",35077,712.153093914318
2022-05-14,"47075",97.8,"D",17304,353.966231388786
2022-05-14,"47187",97.8,"A",238412,231.275015040853
2022-05-14,"48121",98.9,"A",887207,808.782944441213
2022-05-14,"48271",98.9,"D",3667,1117.97302891727
2022-05-14,"48451",98.9,"C",119200,1030.84885460166
2022-05-14,"48457",98.9,"D",21672,785.154100797256
2022-05-14,"49041",97.6,"B",21620,1411.9463140768
2022-05-14,"51037",79,"C",11880,492.556903114666
2022-05-14,"51087",79,"B",330818,545.839396120239
2022-05-14,"51143",79,"C",60354,463.29001879366
2022-05-14,"51187",79,"B",40164,483.93742214468
2022-05-14,"51660",79,"D",53016,459.756281763841
2022-05-14,"53033",96,"B",2252782,1884.40985153543
2022-05-14,"55017",96.8,"A",64658,575.627668597888
2022-05-14,"55085",96.8,"A",35595,582.019985907453
2022-05-14,"54097",97.2,"C",24176,397.806912306599
2022-05-14,"01009",92.5,"B",57826,320.501938479574
2022-05-14,"05083",90.5,"D",21466,579.884916679819
2022-05-14,"05103",90.5,"D",23382,597.080695944135
2022-05-14,"05141",90.5,"C",16545,517.376264708543
2022-05-14,"08011",97.1,"D",5577,964.420772416611
2022-05-14,"08023",97.1,"D",3887,1095.49598269872
2022-05-14,"08067",97.1,"A",56221,1224.0717060388
2022-05-14,"13001",89.4,"D",18386,491.321407649443
2022-05-14,"13185",89.4,"D",117406,521.46226492654
2022-05-14,"13223",89.4,"A",168667,305.042094639098
2022-05-14,"13227",89.4,"B",32591,281.733876305098
2022-05-14,"19031",97.4,"A",18627,405.853668740353
2022-05-14,"19163",97.4,"B",172943,385.723027718532
2022-05-14,"19185",97.4,"B",6441,477.458014052421
2022-05-14,"17075",98.3,"B",27114,302.022932353853
2022-05-14,"18041",98.6,"C",23102,269.187925197439
2022-05-14,"20153",93.6,"A",2530,850.909796737571
2022-05-14,"20185",93.6,"B",4156,741.242033939234
2022-05-14,"21025",94,"D",12630,279.93883487553
2022-05-14,"21053",94,"D",10218,176.188771615393
2022-05-14,"21091",94,"B",8722,212.724269111427
2022-05-14,"21167",94,"B",21933,214.723476002317
2022-05-14,"22027",96.9,"D",15670,632.220099737027
2022-05-14,"22037",96.9,"D",19135,642.060338510404
2022-05-14,"22039",96.9,"D",33395,702.974331278105
2022-05-14,"26035",95.1,"D",30950,412.850824687372
2022-05-14,"26081",95.1,"B",656955,361.335748748753
2022-05-14,"29065",91.3,"C",15573,421.72835872261
2022-05-14,"28081",98.1,"D",85436,375.724007554878
2022-05-14,"30045",95.8,"A",2007,1358.57161256507
2022-05-14,"30051",95.8,"B",2337,1424.00527802359
2022-05-14,"37109",96.9,"B",86111,394.585333057002
2022-05-14,"37149",96.9,"B",20724,348.761988136491
2022-05-14,"38075",92.7,"A",2327,1077.44265176874
2022-05-14,"31029",90.7,"A",3924,878.790363832012
2022-05-14,"31053",90.7,"C",36565,633.172310798763
2022-05-14,"31071",90.7,"A",1969,745.852084865624
2022-05-14,"31089",90.7,"A",10067,746.552131580811
2022-05-14,"31145",90.7,"A",10724,817.739040605438
2022-05-14,"34015",94,"A",291636,626.148990185003
2022-05-14,"35015",97,"C",58460,1163.01180724737
2022-05-14,"36037",97.6,"A",57280,543.917537814127
2022-05-14,"39091",98.5,"B",45672,298.591990487757
2022-05-14,"40001",93.8,"D",22194,604.076759387711
2022-05-14,"40027",93.8,"B",284014,744.381704918026
2022-05-14,"40109",93.8,"C",797434,735.388987919024
2022-05-14,"40133",93.8,"D",24258,714.227282564391
2022-05-14,"45037",93.1,"D",27260,397.266537977041
2022-05-14,"46101",96.7,"B",6576,692.721333908259
2022-05-14,"47089",97.8,"C",54495,271.630508250808
2022-05-14,"47109",97.8,"C",25694,335.707564370406
2022-05-14,"47127",97.8,"A",6488,242.332974953089
2022-05-14,"48037",98.9,"D",93245,676.849530675677
